Timestamp,course,heard_website,heard_social_media,heard_community_event,heard_family_member_friend,heard_current_ccm_student,heard_ccm_alumni,heard_hs_teacher,heard_hs_counselor,heard_in_app_advertisement,heard_employer,heard_billboard,heard_television,heard_radio,heard_home_mailer,heard_other,impact_affordable_cost,impact_location_convenience,impact_choice_of_programs,impact_online_offerings,impact_family_friends_referral,impact_faculty_staff,impact_college_reputation,impact_financial_aid,impact_scholarships,impact_small_class_sizes,impact_extra_curricular_opportunities,impact_accepted_my_transfer_credits,impact_negative_experience,impact_nj_stars_program,impact_ability_to_transfer_ccm_credits,impact_credits_from_hs,motivation_to_keep_current_in_computing_skills,motivation_curiosity,motivation_personal_enrichment,motivation_career_advancement,motivation_career_change,motivation_professional_development,motivation_job_displacement,motivation_financial,motivation_relocation,motivation_certification,motivation_required,gender,age
2023/09/05 9:36:31 PM EST,CMP 101 Computer Information Literacy,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,High Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,High Impact,High Impact,No Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,No,No,No,No,Yes,Woman,18 and younger
2023/09/05 9:42:31 PM EST,CMP 101 Computer Information Literacy,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,N/A,High Impact,N/A,N/A,High Impact,High Impact,High Impact,N/A,High Impact,N/A,N/A,High Impact,N/A,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Woman,18 and younger
2023/09/05 10:00:08 PM EST,CMP 101 Computer Information Literacy,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,High Impact,High Impact,Some Impact,Some Impact,High Impact,No Impact,Some Impact,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,High Impact,High Impact,No Impact,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Woman,19-20
2023/09/05 11:12:17 PM EST,CMP 126 Computer Technology and Applications,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Some Impact,No Impact,No Impact,High Impact,No Impact,Some Impact,High Impact,High Impact,No,No,No,No,No,No,No,No,No,No,Yes,Man,18 and younger
2023/09/05 11:56:29 PM EST,CMP 126 Computer Technology and Applications,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Some Impact,Some Impact,Some Impact,No Impact,High Impact,No Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Woman,19-20
2023/09/06 5:33:40 AM EST,CMP 101 Computer Information Literacy,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,Some Impact,Some Impact,High Impact,Some Impact,No Impact,Some Impact,Some Impact,High Impact,High Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Woman,18 and younger
2023/09/06 5:46:50 AM EST,CMP 101 Computer Information Literacy,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No Impact,Some Impact,High Impact,High Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,Yes,Woman,35-64
2023/09/06 7:50:38 AM EST,CMP 101 Computer Information Literacy,Yes,Yes,No,Yes,Yes,No,Don't recall,Yes,No,No,No,No,No,No,No,Some Impact,High Impact,High Impact,N/A,Some Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Woman,19-20
2023/09/06 8:58:38 AM EST,CMP 126 Computer Technology and Applications,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,Some Impact,Some Impact,No Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Woman,19-20
2023/09/06 11:02:09 AM EST,CMP 126 Computer Technology and Applications,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,High Impact,High Impact,Some Impact,Some Impact,High Impact,No Impact,No Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,High Impact,No Impact,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Man,25-34
